"Label";"Demography - Number of deaths - Metropolitan France";"Codes"
"idBank";"000436394";""
"Last update";"05/09/2025 12:00";""
"Period";"";""
"2025-07";"47700";"P"
"2025-06";"46600";"P"
"2025-05";"49400";"P"
"2025-04";"49700";"P"
"2025-03";"53900";"P"
"2025-02";"54800";"P"
"2025-01";"69400";"P"
"2024-12";"59800";"P"
"2024-11";"51600";"P"
"2024-10";"54300";"P"
"2024-09";"48200";"P"
"2024-08";"48200";"P"
"2024-07";"48600";"P"
"2024-06";"48300";"P"
"2024-05";"49400";"P"
"2024-04";"49400";"P"
"2024-03";"53100";"P"
"2024-02";"53600";"P"
"2024-01";"63100";"P"
"2023-12";"60894";"A"
"2023-11";"53349";"A"
"2023-10";"52556";"A"
"2023-09";"47771";"A"
"2023-08";"48479";"A"
"2023-07";"46641";"A"
"2023-06";"46651";"A"
"2023-05";"49779";"A"
"2023-04";"50283";"A"
"2023-03";"54045";"A"
"2023-02";"50926";"A"
"2023-01";"62585";"A"
"2022-12";"69226";"A"
"2022-11";"53545";"A"
"2022-10";"54605";"A"
"2022-09";"48234";"A"
"2022-08";"51367";"A"
"2022-07";"53298";"A"
"2022-06";"46973";"A"
"2022-05";"49871";"A"
"2022-04";"54909";"A"
"2022-03";"55888";"A"
"2022-02";"55554";"A"
"2022-01";"64964";"A"
"2021-12";"62899";"A"
"2021-11";"52694";"A"
"2021-10";"52650";"A"
"2021-09";"48267";"A"
"2021-08";"49011";"A"
"2021-07";"47343";"A"
"2021-06";"44883";"A"
"2021-05";"51332";"A"
"2021-04";"56174";"A"
"2021-03";"57332";"A"
"2021-02";"56086";"A"
"2021-01";"65530";"A"
"2020-12";"63127";"A"
"2020-11";"65059";"A"
"2020-10";"56931";"A"
"2020-09";"48037";"A"
"2020-08";"48041";"A"
"2020-07";"45999";"A"
"2020-06";"45113";"A"
"2020-05";"47953";"A"
"2020-04";"65851";"A"
"2020-03";"61898";"A"
"2020-02";"50329";"A"
"2020-01";"56261";"A"
"2019-12";"53788";"A"
"2019-11";"50808";"A"
"2019-10";"49222";"A"
"2019-09";"45062";"A"
"2019-08";"45899";"A"
"2019-07";"46877";"A"
"2019-06";"45315";"A"
"2019-05";"48022";"A"
"2019-04";"48069";"A"
"2019-03";"52395";"A"
"2019-02";"54760";"A"
"2019-01";"59191";"A"
"2018-12";"51902";"A"
"2018-11";"48718";"A"
"2018-10";"48866";"A"
"2018-09";"44716";"A"
"2018-08";"46096";"A"
"2018-07";"47213";"A"
"2018-06";"43940";"A"
"2018-05";"46748";"A"
"2018-04";"49372";"A"
"2018-03";"59233";"A"
"2018-02";"51137";"A"
"2018-01";"58611";"A"
"2017-12";"55876";"A"
"2017-11";"48981";"A"
"2017-10";"48336";"A"
"2017-09";"45067";"A"
"2017-08";"45556";"A"
"2017-07";"45263";"A"
"2017-06";"43399";"A"
"2017-05";"47327";"A"
"2017-04";"46089";"A"
"2017-03";"49159";"A"
"2017-02";"51563";"A"
"2017-01";"66990";"A"
"2016-12";"56223";"A"
"2016-11";"48742";"A"
"2016-10";"49297";"A"
"2016-09";"43805";"A"
"2016-08";"44649";"A"
"2016-07";"45648";"A"
"2016-06";"43412";"A"
"2016-05";"46957";"A"
"2016-04";"47746";"A"
"2016-03";"53090";"A"
"2016-02";"48480";"A"
"2016-01";"53024";"A"
"2015-12";"49659";"A"
"2015-11";"45689";"A"
"2015-10";"49110";"A"
"2015-09";"43639";"A"
"2015-08";"44737";"A"
"2015-07";"45428";"A"
"2015-06";"43637";"A"
"2015-05";"45286";"A"
"2015-04";"46769";"A"
"2015-03";"53931";"A"
"2015-02";"56432";"A"
"2015-01";"57453";"A"
"2014-12";"51319";"A"
"2014-11";"45979";"A"
"2014-10";"45419";"A"
"2014-09";"42544";"A"
"2014-08";"43057";"A"
"2014-07";"43465";"A"
"2014-06";"42107";"A"
"2014-05";"44467";"A"
"2014-04";"44466";"A"
"2014-03";"48298";"A"
"2014-02";"45757";"A"
"2014-01";"50125";"A"
"2013-12";"49392";"A"
"2013-11";"44452";"A"
"2013-10";"45063";"A"
"2013-09";"41986";"A"
"2013-08";"41622";"A"
"2013-07";"44145";"A"
"2013-06";"42324";"A"
"2013-05";"44410";"A"
"2013-04";"46036";"A"
"2013-03";"53241";"A"
"2013-02";"50603";"A"
"2013-01";"55134";"A"
"2012-12";"50376";"A"
"2012-11";"45771";"A"
"2012-10";"46174";"A"
"2012-09";"41282";"A"
"2012-08";"42258";"A"
"2012-07";"42923";"A"
"2012-06";"41724";"A"
"2012-05";"44999";"A"
"2012-04";"45863";"A"
"2012-03";"52871";"A"
"2012-02";"53590";"A"
"2012-01";"51396";"A"
"2011-12";"48538";"A"
"2011-11";"44274";"A"
"2011-10";"44935";"A"
"2011-09";"41188";"A"
"2011-08";"41861";"A"
"2011-07";"41824";"A"
"2011-06";"41391";"A"
"2011-05";"43325";"A"
"2011-04";"43075";"A"
"2011-03";"46906";"A"
"2011-02";"45390";"A"
"2011-01";"52088";"A"
"2010-12";"50525";"A"
"2010-11";"44264";"A"
"2010-10";"46043";"A"
"2010-09";"41743";"A"
"2010-08";"41487";"A"
"2010-07";"42727";"A"
"2010-06";"41654";"A"
"2010-05";"43824";"A"
"2010-04";"43782";"A"
"2010-03";"47555";"A"
"2010-02";"45770";"A"
"2010-01";"51095";"A"
"2009-12";"48324";"A"
"2009-11";"43238";"A"
"2009-10";"44885";"A"
"2009-09";"40033";"A"
"2009-08";"41066";"A"
"2009-07";"41384";"A"
"2009-06";"40796";"A"
"2009-05";"42818";"A"
"2009-04";"43550";"A"
"2009-03";"46407";"A"
"2009-02";"46677";"A"
"2009-01";"58938";"A"
"2008-12";"49445";"A"
"2008-11";"42763";"A"
"2008-10";"44280";"A"
"2008-09";"40232";"A"
"2008-08";"40455";"A"
"2008-07";"41940";"A"
"2008-06";"40723";"A"
"2008-05";"43007";"A"
"2008-04";"44595";"A"
"2008-03";"46964";"A"
"2008-02";"45865";"A"
"2008-01";"51862";"A"
"2007-12";"48223";"A"
"2007-11";"44549";"A"
"2007-10";"44448";"A"
"2007-09";"39721";"A"
"2007-08";"40044";"A"
"2007-07";"41885";"A"
"2007-06";"39837";"A"
"2007-05";"41112";"A"
"2007-04";"42342";"A"
"2007-03";"45401";"A"
"2007-02";"44229";"A"
"2007-01";"49225";"A"
"2006-12";"45659";"A"
"2006-11";"42214";"A"
"2006-10";"42500";"A"
"2006-09";"40304";"A"
"2006-08";"40156";"A"
"2006-07";"43185";"A"
"2006-06";"40776";"A"
"2006-05";"41563";"A"
"2006-04";"41524";"A"
"2006-03";"45989";"A"
"2006-02";"43380";"A"
"2006-01";"49166";"A"
"2005-12";"46947";"A"
"2005-11";"41991";"A"
"2005-10";"42551";"A"
"2005-09";"38973";"A"
"2005-08";"38870";"A"
"2005-07";"39780";"A"
"2005-06";"40712";"A"
"2005-05";"42433";"A"
"2005-04";"43365";"A"
"2005-03";"53401";"A"
"2005-02";"50324";"A"
"2005-01";"48186";"A"
"2004-12";"46175";"A"
"2004-11";"41530";"A"
"2004-10";"42660";"A"
"2004-09";"39360";"A"
"2004-08";"39091";"A"
"2004-07";"39975";"A"
"2004-06";"39021";"A"
"2004-05";"41337";"A"
"2004-04";"41464";"A"
"2004-03";"44993";"A"
"2004-02";"43446";"A"
"2004-01";"50377";"A"
"2003-12";"50377";"A"
"2003-11";"43954";"A"
"2003-10";"43786";"A"
"2003-09";"41137";"A"
"2003-08";"56550";"A"
"2003-07";"43760";"A"
"2003-06";"42604";"A"
"2003-05";"42928";"A"
"2003-04";"44479";"A"
"2003-03";"47177";"A"
"2003-02";"44667";"A"
"2003-01";"50920";"A"
"2002-12";"47222";"A"
"2002-11";"43166";"A"
"2002-10";"44243";"A"
"2002-09";"40322";"A"
"2002-08";"40461";"A"
"2002-07";"42319";"A"
"2002-06";"42132";"A"
"2002-05";"42973";"A"
"2002-04";"44009";"A"
"2002-03";"46785";"A"
"2002-02";"45849";"A"
"2002-01";"55663";"A"
"2001-12";"48810";"A"
"2001-11";"44583";"A"
"2001-10";"43132";"A"
"2001-09";"40973";"A"
"2001-08";"42518";"A"
"2001-07";"43230";"A"
"2001-06";"41846";"A"
"2001-05";"44212";"A"
"2001-04";"43594";"A"
"2001-03";"46133";"A"
"2001-02";"42513";"A"
"2001-01";"49529";"A"
"2000-12";"45628";"A"
"2000-11";"42983";"A"
"2000-10";"43417";"A"
"2000-09";"39415";"A"
"2000-08";"41178";"A"
"2000-07";"41511";"A"
"2000-06";"40568";"A"
"2000-05";"41722";"A"
"2000-04";"42658";"A"
"2000-03";"45098";"A"
"2000-02";"47747";"A"
"2000-01";"58939";"A"
