country,year,gdp,life_satisf
AL,2018,4730,5.5
AL,2021,5190,5.7
AL,2022,5500,6
AT,2013,43080,7.8
AT,2018,45140,8
AT,2021,44580,8
AT,2022,46430,7.9
AT,2023,45670,7.7
AT,2024,45140,7.6
AT,2025,45390,7.7
BE,2013,39440,7.5
BE,2018,41610,7.6
BE,2021,42530,7.5
BE,2022,43890,7.6
BE,2023,44190,7.7
BE,2024,44410,7.6
BE,2025,44650,7.6
BG,2013,7600,4.8
BG,2018,9170,5.4
BG,2021,10250,5.7
BG,2022,10740,5.6
BG,2023,10950,5.9
BG,2024,11330,6.2
BG,2025,11710,6.3
CH,2013,74650,8
CH,2018,78760,8
CH,2021,80850,7.9
CH,2022,83000,8
CH,2023,82440,7.8
CH,2024,82650,7.7
CY,2013,20830,6.2
CY,2018,24690,7.1
CY,2021,27030,6.7
CY,2022,28850,7.1
CY,2023,29320,7.4
CY,2024,29950,7.4
CY,2025,30590,7.4
CZ,2013,17970,6.9
CZ,2018,21320,7.4
CZ,2021,21830,7.3
CZ,2022,21910,7.4
CZ,2023,21680,7.4
CZ,2024,21950,7.4
CZ,2025,22510,7.4
DE,2013,40160,7.3
DE,2018,43630,7.4
DE,2021,44090,NA
DE,2022,44620,6.5
DE,2023,43770,7
DE,2024,43650,7
DE,2025,43750,7
DK,2013,49750,8
DK,2018,53920,7.8
DK,2021,56780,7.5
DK,2022,56530,7.6
DK,2023,56770,7.5
DK,2024,58670,7.6
DK,2025,60390,7.7
EE,2013,17630,6.5
EE,2018,20970,7
EE,2021,22670,7.2
EE,2022,22800,7.2
EE,2023,21580,7.2
EE,2024,21470,7.1
EE,2025,21820,7.3
EL,2013,15800,6.2
EL,2018,16810,6.4
EL,2021,17110,6.8
EL,2022,18160,6.7
EL,2023,18600,6.9
EL,2024,19020,6.7
EL,2025,19400,6.9
ES,2013,23310,6.9
ES,2018,26620,7.3
ES,2021,25440,7.2
ES,2022,26820,7.1
ES,2023,27150,7.2
ES,2024,27800,7.2
ES,2025,28320,7.2
FI,2013,41020,8
FI,2018,43360,8.1
FI,2021,43800,8.1
FI,2022,44010,7.9
FI,2023,43280,7.8
FI,2024,43330,7.8
FI,2025,43450,7.8
FR,2013,34990,7.1
FR,2018,36570,7.3
FR,2021,36460,6.8
FR,2022,37280,7
FR,2023,37730,7.1
FR,2024,38180,7.1
FR,2025,38360,7.1
HR,2013,11340,6.4
HR,2018,13460,6.3
HR,2021,14750,6.8
HR,2022,15900,6.8
HR,2023,16490,7.1
HR,2024,17060,7.2
HR,2025,17590,7.4
HU,2013,11490,6.1
HU,2018,14240,6.5
HU,2021,15470,6.5
HU,2022,16160,6.9
HU,2023,16050,7.2
HU,2024,16210,7.1
HU,2025,16370,7.1
IE,2013,44830,7.5
IE,2018,69310,8.1
IE,2021,87150,7.3
IE,2022,92300,7.4
IE,2023,87630,7.6
IE,2024,89300,7.5
IE,2025,94930,7.6
IS,2013,52880,8
IS,2018,59120,8.1
IT,2013,28920,6.6
IT,2018,30470,7
IT,2021,30760,7.2
IT,2022,32310,7.2
IT,2023,32630,7.2
IT,2024,32900,7.2
IT,2025,33080,7.1
LT,2013,13480,6.7
LT,2018,17030,6.4
LT,2021,19040,7
LT,2022,19350,7.1
LT,2023,19220,7.2
LT,2024,19690,7.2
LT,2025,20260,7.3
LU,2013,102010,7.4
LU,2018,103640,7.5
LU,2021,107570,7.4
LU,2022,104100,7.2
LU,2023,102250,7.3
LU,2024,101000,7.2
LU,2025,100380,7.4
LV,2013,12750,6.5
LV,2018,15610,6.7
LV,2021,16580,6.7
LV,2022,16890,6.8
LV,2023,16770,6.9
LV,2024,16910,6.9
LV,2025,17520,6.9
ME,2013,6390,5.7
ME,2018,7460,6.5
ME,2021,7500,6.4
ME,2022,8100,5.8
ME,2023,8620,6.6
MK,2013,4950,NA
MK,2018,5800,6
MK,2021,6170,5.7
MK,2022,6360,5.4
MK,2023,6540,5.8
MK,2024,6750,6.2
MT,2013,22600,7.1
MT,2018,29510,7.5
MT,2021,31410,7.1
MT,2022,31830,7.4
MT,2023,32760,7.4
MT,2024,33540,7.5
MT,2025,34360,7.6
NL,2013,44230,7.8
NL,2018,48180,7.7
NL,2021,49490,7.7
NL,2022,51480,7.7
NL,2023,50660,7.6
NL,2024,50870,7.6
NL,2025,51400,7.6
NO,2013,60260,7.9
NO,2018,63130,8
NO,2021,64640,7.5
NO,2022,66670,7.7
NO,2023,66140,7.6
NO,2024,66460,7.6
NO,2025,66720,7.7
PL,2013,10930,7.3
PL,2018,13680,7.7
PL,2021,15380,7.5
PL,2022,15840,7.7
PL,2023,15950,7.6
PL,2024,16510,7.6
PL,2025,17170,7.7
PT,2013,18330,6.2
PT,2018,20620,6.7
PT,2021,20390,NA
PT,2022,21690,7
PT,2023,22130,7.1
PT,2024,22370,7.3
