country,year,gdp,life_satisf
FR,2010,32548.4,6.72
IT,2010,26774.1,6.59
DE,2010,38145.3,7.17
ES,2010,24253.1,6.67
NL,2010,42161.7,7.94
PT,2010,19957.6,6.42
FR,2011,33244.6,7.13
IT,2011,27502.1,6.45
DE,2011,39567.4,7.32
ES,2011,24454.9,6.93
NL,2011,43361.9,7.65
PT,2011,21314.7,6.19
FR,2012,32724.5,6.77
IT,2012,27968.5,6.32
DE,2012,39466.7,7.25
ES,2012,25214.4,6.84
NL,2012,43566.3,8.02
PT,2012,19737.4,6.5
FR,2013,32943.8,6.81
IT,2013,29148,6.84
DE,2013,40157.3,7.16
ES,2013,24727.5,6.78
NL,2013,44451.2,7.8
PT,2013,21685.9,6.34
FR,2014,35318.1,7.01
IT,2014,28987.8,6.6
DE,2014,40937.1,7.28
ES,2014,25214.7,6.8
NL,2014,45544,7.81
PT,2014,21344,6.3
FR,2015,35382.2,6.75
IT,2015,29981.9,6.54
DE,2015,42214,7.22
ES,2015,26156.4,7.21
NL,2015,46402,7.7
PT,2015,21313.2,6.42
FR,2016,35526.2,6.8
IT,2016,29899.6,6.4
DE,2016,41594.3,7.34
ES,2016,26894.4,6.67
NL,2016,47122.4,7.92
PT,2016,22255.6,6.36
FR,2017,36783.3,6.95
IT,2017,30489.3,6.34
DE,2017,42772.7,7.16
ES,2017,27533.1,6.87
NL,2017,47555.4,8.03
PT,2017,23377.6,6.37
FR,2018,36947.4,7.06
IT,2018,31582.3,6.83
DE,2018,44208.8,7.58
ES,2018,27526.5,6.7
NL,2018,49350.3,7.94
PT,2018,23457.2,6.64
FR,2019,37795.9,7.01
IT,2019,31970.6,6.67
DE,2019,45111.7,7.37
ES,2019,28355.9,6.75
NL,2019,48362.8,7.91
PT,2019,23714,6.48
FR,2020,38253.1,7.04
IT,2020,32474.1,6.87
DE,2020,45832.7,7.33
ES,2020,29359.9,6.84
NL,2020,50109.1,8.1
PT,2020,24521,6.34
FR,2021,39174.3,7.11
IT,2021,33355.4,6.49
DE,2021,46728.3,7.6
ES,2021,29568.4,6.88
NL,2021,50822.8,7.95
PT,2021,24363.9,6.33
FR,2022,39929.4,7.14
IT,2022,33098.6,6.62
DE,2022,46902.9,7.36
ES,2022,29992.4,7.13
NL,2022,52387.3,8.01
PT,2022,24985.5,6.38
FR,2023,39965.7,7.18
IT,2023,33580.1,6.71
DE,2023,48485.1,7.55
ES,2023,30343.2,7.17
NL,2023,52955.4,7.91
PT,2023,25151.6,6.63
