country,year,gdp
FR,2010,32548.4
IT,2010,26774.1
DE,2010,38145.3
ES,2010,24253.1
NL,2010,42161.7
PT,2010,19957.6
FR,2011,33244.6
IT,2011,27502.1
DE,2011,39567.4
ES,2011,24454.9
NL,2011,43361.9
PT,2011,21314.7
FR,2012,32724.5
IT,2012,27968.5
DE,2012,39466.7
ES,2012,25214.4
NL,2012,43566.3
PT,2012,19737.4
FR,2013,32943.8
IT,2013,29148
DE,2013,40157.3
ES,2013,24727.5
NL,2013,44451.2
PT,2013,21685.9
FR,2014,35318.1
IT,2014,28987.8
DE,2014,40937.1
ES,2014,25214.7
NL,2014,45544
PT,2014,21344
FR,2015,35382.2
IT,2015,29981.9
DE,2015,42214
ES,2015,26156.4
NL,2015,46402
PT,2015,21313.2
FR,2016,35526.2
IT,2016,29899.6
DE,2016,41594.3
ES,2016,26894.4
NL,2016,47122.4
PT,2016,22255.6
FR,2017,36783.3
IT,2017,30489.3
DE,2017,42772.7
ES,2017,27533.1
NL,2017,47555.4
PT,2017,23377.6
FR,2018,36947.4
IT,2018,31582.3
DE,2018,44208.8
ES,2018,27526.5
NL,2018,49350.3
PT,2018,23457.2
FR,2019,37795.9
IT,2019,31970.6
DE,2019,45111.7
ES,2019,28355.9
NL,2019,48362.8
PT,2019,23714
FR,2020,38253.1
IT,2020,32474.1
DE,2020,45832.7
ES,2020,29359.9
NL,2020,50109.1
PT,2020,24521
FR,2021,39174.3
IT,2021,33355.4
DE,2021,46728.3
ES,2021,29568.4
NL,2021,50822.8
PT,2021,24363.9
FR,2022,39929.4
IT,2022,33098.6
DE,2022,46902.9
ES,2022,29992.4
NL,2022,52387.3
PT,2022,24985.5
FR,2023,39965.7
IT,2023,33580.1
DE,2023,48485.1
ES,2023,30343.2
NL,2023,52955.4
PT,2023,25151.6
