country,year,life_satisf
FR,2010,6.72
IT,2010,6.59
DE,2010,7.17
ES,2010,6.67
NL,2010,7.94
PT,2010,6.42
FR,2011,7.13
IT,2011,6.45
DE,2011,7.32
ES,2011,6.93
NL,2011,7.65
PT,2011,6.19
FR,2012,6.77
IT,2012,6.32
DE,2012,7.25
ES,2012,6.84
NL,2012,8.02
PT,2012,6.5
FR,2013,6.81
IT,2013,6.84
DE,2013,7.16
ES,2013,6.78
NL,2013,7.8
PT,2013,6.34
FR,2014,7.01
IT,2014,6.6
DE,2014,7.28
ES,2014,6.8
NL,2014,7.81
PT,2014,6.3
FR,2015,6.75
IT,2015,6.54
DE,2015,7.22
ES,2015,7.21
NL,2015,7.7
PT,2015,6.42
FR,2016,6.8
IT,2016,6.4
DE,2016,7.34
ES,2016,6.67
NL,2016,7.92
PT,2016,6.36
FR,2017,6.95
IT,2017,6.34
DE,2017,7.16
ES,2017,6.87
NL,2017,8.03
PT,2017,6.37
FR,2018,7.06
IT,2018,6.83
DE,2018,7.58
ES,2018,6.7
NL,2018,7.94
PT,2018,6.64
FR,2019,7.01
IT,2019,6.67
DE,2019,7.37
ES,2019,6.75
NL,2019,7.91
PT,2019,6.48
FR,2020,7.04
IT,2020,6.87
DE,2020,7.33
ES,2020,6.84
NL,2020,8.1
PT,2020,6.34
FR,2021,7.11
IT,2021,6.49
DE,2021,7.6
ES,2021,6.88
NL,2021,7.95
PT,2021,6.33
FR,2022,7.14
IT,2022,6.62
DE,2022,7.36
ES,2022,7.13
NL,2022,8.01
PT,2022,6.38
FR,2023,7.18
IT,2023,6.71
DE,2023,7.55
ES,2023,7.17
NL,2023,7.91
PT,2023,6.63
