"freq","unit","indic_wb","geo","TIME_PERIOD","OBS_VALUE"
"A","RTG","LIFESAT","FR",2010,6.72
"A","RTG","LIFESAT","IT",2010,6.59
"A","RTG","LIFESAT","DE",2010,7.17
"A","RTG","LIFESAT","ES",2010,6.67
"A","RTG","LIFESAT","NL",2010,7.94
"A","RTG","LIFESAT","PT",2010,6.42
"A","RTG","LIFESAT","FR",2011,7.13
"A","RTG","LIFESAT","IT",2011,6.45
"A","RTG","LIFESAT","DE",2011,7.32
"A","RTG","LIFESAT","ES",2011,6.93
"A","RTG","LIFESAT","NL",2011,7.65
"A","RTG","LIFESAT","PT",2011,6.19
"A","RTG","LIFESAT","FR",2012,6.77
"A","RTG","LIFESAT","IT",2012,6.32
"A","RTG","LIFESAT","DE",2012,7.25
"A","RTG","LIFESAT","ES",2012,6.84
"A","RTG","LIFESAT","NL",2012,8.02
"A","RTG","LIFESAT","PT",2012,6.5
"A","RTG","LIFESAT","FR",2013,6.81
"A","RTG","LIFESAT","IT",2013,6.84
"A","RTG","LIFESAT","DE",2013,7.16
"A","RTG","LIFESAT","ES",2013,6.78
"A","RTG","LIFESAT","NL",2013,7.8
"A","RTG","LIFESAT","PT",2013,6.34
"A","RTG","LIFESAT","FR",2014,7.01
"A","RTG","LIFESAT","IT",2014,6.6
"A","RTG","LIFESAT","DE",2014,7.28
"A","RTG","LIFESAT","ES",2014,6.8
"A","RTG","LIFESAT","NL",2014,7.81
"A","RTG","LIFESAT","PT",2014,6.3
"A","RTG","LIFESAT","FR",2015,6.75
"A","RTG","LIFESAT","IT",2015,6.54
"A","RTG","LIFESAT","DE",2015,7.22
"A","RTG","LIFESAT","ES",2015,7.21
"A","RTG","LIFESAT","NL",2015,7.7
"A","RTG","LIFESAT","PT",2015,6.42
"A","RTG","LIFESAT","FR",2016,6.8
"A","RTG","LIFESAT","IT",2016,6.4
"A","RTG","LIFESAT","DE",2016,7.34
"A","RTG","LIFESAT","ES",2016,6.67
"A","RTG","LIFESAT","NL",2016,7.92
"A","RTG","LIFESAT","PT",2016,6.36
"A","RTG","LIFESAT","FR",2017,6.95
"A","RTG","LIFESAT","IT",2017,6.34
"A","RTG","LIFESAT","DE",2017,7.16
"A","RTG","LIFESAT","ES",2017,6.87
"A","RTG","LIFESAT","NL",2017,8.03
"A","RTG","LIFESAT","PT",2017,6.37
"A","RTG","LIFESAT","FR",2018,7.06
"A","RTG","LIFESAT","IT",2018,6.83
"A","RTG","LIFESAT","DE",2018,7.58
"A","RTG","LIFESAT","ES",2018,6.7
"A","RTG","LIFESAT","NL",2018,7.94
"A","RTG","LIFESAT","PT",2018,6.64
"A","RTG","LIFESAT","FR",2019,7.01
"A","RTG","LIFESAT","IT",2019,6.67
"A","RTG","LIFESAT","DE",2019,7.37
"A","RTG","LIFESAT","ES",2019,6.75
"A","RTG","LIFESAT","NL",2019,7.91
"A","RTG","LIFESAT","PT",2019,6.48
"A","RTG","LIFESAT","FR",2020,7.04
"A","RTG","LIFESAT","IT",2020,6.87
"A","RTG","LIFESAT","DE",2020,7.33
"A","RTG","LIFESAT","ES",2020,6.84
"A","RTG","LIFESAT","NL",2020,8.1
"A","RTG","LIFESAT","PT",2020,6.34
"A","RTG","LIFESAT","FR",2021,7.11
"A","RTG","LIFESAT","IT",2021,6.49
"A","RTG","LIFESAT","DE",2021,7.6
"A","RTG","LIFESAT","ES",2021,6.88
"A","RTG","LIFESAT","NL",2021,7.95
"A","RTG","LIFESAT","PT",2021,6.33
"A","RTG","LIFESAT","FR",2022,7.14
"A","RTG","LIFESAT","IT",2022,6.62
"A","RTG","LIFESAT","DE",2022,7.36
"A","RTG","LIFESAT","ES",2022,7.13
"A","RTG","LIFESAT","NL",2022,8.01
"A","RTG","LIFESAT","PT",2022,6.38
"A","RTG","LIFESAT","FR",2023,7.18
"A","RTG","LIFESAT","IT",2023,6.71
"A","RTG","LIFESAT","DE",2023,7.55
"A","RTG","LIFESAT","ES",2023,7.17
"A","RTG","LIFESAT","NL",2023,7.91
"A","RTG","LIFESAT","PT",2023,6.63
