"freq","unit","na_item","geo","TIME_PERIOD","OBS_VALUE"
"A","CLV10_EUR_HAB","B1GQ","FR",2010,32548.4
"A","CLV10_EUR_HAB","B1GQ","IT",2010,26774.1
"A","CLV10_EUR_HAB","B1GQ","DE",2010,38145.3
"A","CLV10_EUR_HAB","B1GQ","ES",2010,24253.1
"A","CLV10_EUR_HAB","B1GQ","NL",2010,42161.7
"A","CLV10_EUR_HAB","B1GQ","PT",2010,19957.6
"A","CLV10_EUR_HAB","B1GQ","FR",2011,33244.6
"A","CLV10_EUR_HAB","B1GQ","IT",2011,27502.1
"A","CLV10_EUR_HAB","B1GQ","DE",2011,39567.4
"A","CLV10_EUR_HAB","B1GQ","ES",2011,24454.9
"A","CLV10_EUR_HAB","B1GQ","NL",2011,43361.9
"A","CLV10_EUR_HAB","B1GQ","PT",2011,21314.7
"A","CLV10_EUR_HAB","B1GQ","FR",2012,32724.5
"A","CLV10_EUR_HAB","B1GQ","IT",2012,27968.5
"A","CLV10_EUR_HAB","B1GQ","DE",2012,39466.7
"A","CLV10_EUR_HAB","B1GQ","ES",2012,25214.4
"A","CLV10_EUR_HAB","B1GQ","NL",2012,43566.3
"A","CLV10_EUR_HAB","B1GQ","PT",2012,19737.4
"A","CLV10_EUR_HAB","B1GQ","FR",2013,32943.8
"A","CLV10_EUR_HAB","B1GQ","IT",2013,29148
"A","CLV10_EUR_HAB","B1GQ","DE",2013,40157.3
"A","CLV10_EUR_HAB","B1GQ","ES",2013,24727.5
"A","CLV10_EUR_HAB","B1GQ","NL",2013,44451.2
"A","CLV10_EUR_HAB","B1GQ","PT",2013,21685.9
"A","CLV10_EUR_HAB","B1GQ","FR",2014,35318.1
"A","CLV10_EUR_HAB","B1GQ","IT",2014,28987.8
"A","CLV10_EUR_HAB","B1GQ","DE",2014,40937.1
"A","CLV10_EUR_HAB","B1GQ","ES",2014,25214.7
"A","CLV10_EUR_HAB","B1GQ","NL",2014,45544
"A","CLV10_EUR_HAB","B1GQ","PT",2014,21344
"A","CLV10_EUR_HAB","B1GQ","FR",2015,35382.2
"A","CLV10_EUR_HAB","B1GQ","IT",2015,29981.9
"A","CLV10_EUR_HAB","B1GQ","DE",2015,42214
"A","CLV10_EUR_HAB","B1GQ","ES",2015,26156.4
"A","CLV10_EUR_HAB","B1GQ","NL",2015,46402
"A","CLV10_EUR_HAB","B1GQ","PT",2015,21313.2
"A","CLV10_EUR_HAB","B1GQ","FR",2016,35526.2
"A","CLV10_EUR_HAB","B1GQ","IT",2016,29899.6
"A","CLV10_EUR_HAB","B1GQ","DE",2016,41594.3
"A","CLV10_EUR_HAB","B1GQ","ES",2016,26894.4
"A","CLV10_EUR_HAB","B1GQ","NL",2016,47122.4
"A","CLV10_EUR_HAB","B1GQ","PT",2016,22255.6
"A","CLV10_EUR_HAB","B1GQ","FR",2017,36783.3
"A","CLV10_EUR_HAB","B1GQ","IT",2017,30489.3
"A","CLV10_EUR_HAB","B1GQ","DE",2017,42772.7
"A","CLV10_EUR_HAB","B1GQ","ES",2017,27533.1
"A","CLV10_EUR_HAB","B1GQ","NL",2017,47555.4
"A","CLV10_EUR_HAB","B1GQ","PT",2017,23377.6
"A","CLV10_EUR_HAB","B1GQ","FR",2018,36947.4
"A","CLV10_EUR_HAB","B1GQ","IT",2018,31582.3
"A","CLV10_EUR_HAB","B1GQ","DE",2018,44208.8
"A","CLV10_EUR_HAB","B1GQ","ES",2018,27526.5
"A","CLV10_EUR_HAB","B1GQ","NL",2018,49350.3
"A","CLV10_EUR_HAB","B1GQ","PT",2018,23457.2
"A","CLV10_EUR_HAB","B1GQ","FR",2019,37795.9
"A","CLV10_EUR_HAB","B1GQ","IT",2019,31970.6
"A","CLV10_EUR_HAB","B1GQ","DE",2019,45111.7
"A","CLV10_EUR_HAB","B1GQ","ES",2019,28355.9
"A","CLV10_EUR_HAB","B1GQ","NL",2019,48362.8
"A","CLV10_EUR_HAB","B1GQ","PT",2019,23714
"A","CLV10_EUR_HAB","B1GQ","FR",2020,38253.1
"A","CLV10_EUR_HAB","B1GQ","IT",2020,32474.1
"A","CLV10_EUR_HAB","B1GQ","DE",2020,45832.7
"A","CLV10_EUR_HAB","B1GQ","ES",2020,29359.9
"A","CLV10_EUR_HAB","B1GQ","NL",2020,50109.1
"A","CLV10_EUR_HAB","B1GQ","PT",2020,24521
"A","CLV10_EUR_HAB","B1GQ","FR",2021,39174.3
"A","CLV10_EUR_HAB","B1GQ","IT",2021,33355.4
"A","CLV10_EUR_HAB","B1GQ","DE",2021,46728.3
"A","CLV10_EUR_HAB","B1GQ","ES",2021,29568.4
"A","CLV10_EUR_HAB","B1GQ","NL",2021,50822.8
"A","CLV10_EUR_HAB","B1GQ","PT",2021,24363.9
"A","CLV10_EUR_HAB","B1GQ","FR",2022,39929.4
"A","CLV10_EUR_HAB","B1GQ","IT",2022,33098.6
"A","CLV10_EUR_HAB","B1GQ","DE",2022,46902.9
"A","CLV10_EUR_HAB","B1GQ","ES",2022,29992.4
"A","CLV10_EUR_HAB","B1GQ","NL",2022,52387.3
"A","CLV10_EUR_HAB","B1GQ","PT",2022,24985.5
"A","CLV10_EUR_HAB","B1GQ","FR",2023,39965.7
"A","CLV10_EUR_HAB","B1GQ","IT",2023,33580.1
"A","CLV10_EUR_HAB","B1GQ","DE",2023,48485.1
"A","CLV10_EUR_HAB","B1GQ","ES",2023,30343.2
"A","CLV10_EUR_HAB","B1GQ","NL",2023,52955.4
"A","CLV10_EUR_HAB","B1GQ","PT",2023,25151.6
